_id,file_name,label
6473f169049652456784dfee,100000000.jpg,Live_Knot
6473f169049652456784dfef,100000001.jpg,Quartzity
6473f169049652456784dff0,100000002.jpg,Live_Knot
6473f169049652456784dff1,100000003.jpg,Live_Knot
6473f169049652456784dff2,100000004.jpg,Live_Knot
6473f169049652456784dff3,100000005.jpg,Live_Knot
6473f169049652456784dff4,100000006.jpg,Dead_Knot
6473f169049652456784dff5,100000007.jpg,Live_Knot
6473f169049652456784dff6,100000008.jpg,Dead_Knot
6473f169049652456784dff7,100000009.jpg,Dead_Knot
6473f169049652456784dff8,100000010.jpg,Live_Knot
6473f169049652456784dff9,100000011.jpg,Live_Knot
6473f169049652456784dffa,100000012.jpg,Dead_Knot
6473f169049652456784dffb,100000013.jpg,Live_Knot
6473f169049652456784dffc,100000014.jpg,Live_Knot
6473f169049652456784dffd,100000015.jpg,Quartzity
6473f169049652456784dffe,100000016.jpg,Quartzity
6473f169049652456784dfff,100000017.jpg,Dead_Knot
6473f169049652456784e000,100000018.jpg,Quartzity
6473f169049652456784e001,100000019.jpg,Quartzity
6473f169049652456784e002,100000020.jpg,Quartzity
6473f169049652456784e003,100000021.jpg,Dead_Knot
6473f169049652456784e004,100000022.jpg,clean
6473f169049652456784e005,100000023.jpg,Live_Knot
6473f169049652456784e006,100000024.jpg,clean
6473f169049652456784e007,100000032.jpg,Live_Knot
6473f169049652456784e008,100000033.jpg,Knot_With_Crack
6473f169049652456784e009,100000034.jpg,Knot_With_Crack
6473f169049652456784e00a,100000035.jpg,Dead_Knot
6473f169049652456784e00b,100000036.jpg,Live_Knot
6473f169049652456784e00c,100000037.jpg,Dead_Knot
6473f169049652456784e00d,100000038.jpg,Live_Knot
6473f169049652456784e00e,100000039.jpg,Knot_Missing
6473f169049652456784e00f,100000040.jpg,Knot_With_Crack
6473f169049652456784e010,100000041.jpg,Knot_With_Crack
6473f169049652456784e011,100000042.jpg,Dead_Knot
6473f169049652456784e012,100000043.jpg,Dead_Knot
6473f169049652456784e013,100000044.jpg,Knot_With_Crack
6473f169049652456784e014,100000045.jpg,Knot_With_Crack
6473f169049652456784e015,100000046.jpg,Live_Knot
6473f169049652456784e016,100000047.jpg,Dead_Knot
6473f169049652456784e017,100000048.jpg,Dead_Knot
6473f169049652456784e018,100000049.jpg,Knot_With_Crack
6473f169049652456784e019,100000050.jpg,clean
6473f169049652456784e01a,100000051.jpg,Knot_With_Crack
6473f169049652456784e01b,100000052.jpg,clean
6473f169049652456784e01c,100000053.jpg,Dead_Knot
6473f169049652456784e01d,100000054.jpg,Dead_Knot
6473f169049652456784e01e,100000055.jpg,Live_Knot
6473f169049652456784e01f,100000056.jpg,Knot_With_Crack
6473f169049652456784e020,100000057.jpg,Dead_Knot
6473f169049652456784e021,100000058.jpg,clean
6473f169049652456784e022,100000059.jpg,Dead_Knot
6473f169049652456784e023,100000060.jpg,Live_Knot
6473f169049652456784e024,100000061.jpg,Dead_Knot
6473f169049652456784e025,100000062.jpg,Dead_Knot
6473f169049652456784e026,100000069.jpg,Live_Knot
6473f169049652456784e027,100000071.jpg,Dead_Knot
6473f169049652456784e028,100000072.jpg,Live_Knot
6473f169049652456784e029,100000073.jpg,Knot_With_Crack
6473f169049652456784e02a,100000074.jpg,Dead_Knot
6473f169049652456784e02b,100000075.jpg,Live_Knot
6473f169049652456784e02c,100000076.jpg,Knot_With_Crack
6473f169049652456784e02d,100000077.jpg,Knot_With_Crack
6473f169049652456784e02e,100000078.jpg,clean
6473f169049652456784e02f,100000079.jpg,Dead_Knot
6473f169049652456784e030,100000080.jpg,Knot_With_Crack
6473f169049652456784e031,100000081.jpg,Dead_Knot
6473f169049652456784e032,100000082.jpg,Knot_With_Crack
6473f169049652456784e033,100000083.jpg,Knot_With_Crack
6473f169049652456784e034,100000084.jpg,Knot_With_Crack
6473f169049652456784e035,100100000.jpg,Live_Knot
6473f169049652456784e036,100100001.jpg,Live_Knot
6473f169049652456784e037,100100002.jpg,Live_Knot
6473f169049652456784e038,100100003.jpg,Live_Knot
6473f169049652456784e039,100100004.jpg,Dead_Knot
6473f169049652456784e03a,100100005.jpg,Live_Knot
6473f169049652456784e03b,100100006.jpg,clean
6473f169049652456784e03c,100100007.jpg,clean
6473f169049652456784e03d,100100008.jpg,Dead_Knot
6473f169049652456784e03e,100100009.jpg,Live_Knot
6473f169049652456784e03f,100100010.jpg,Dead_Knot
6473f169049652456784e040,100100011.jpg,Dead_Knot
